episode_id,state,event_type,event_begin_time,event_end_time,damage_property,event_latitude,event_longitude,Date,Time
59076,Delaware,flood,2012-01-12 05:50:00,2012-01-12 11:34:00,0.0,39.63,-75.73,2012-01-12,05:50:00
59077,New jersey,flood,2012-01-12 10:27:00,2012-01-12 15:34:00,0.0,40.5643,-74.6736,2012-01-12,10:27:00
59077,New jersey,flood,2012-01-12 11:50:00,2012-01-13 20:07:00,0.0,40.4472,-74.5976,2012-01-12,11:50:00
59155,Indiana,flood,2012-01-17 23:45:00,2012-01-18 03:15:00,0.0,38.8029,-85.676,2012-01-17,23:45:00
59379,Alabama,flood,2012-01-26 19:00:00,2012-01-26 23:00:00,5000.0,34.2418,-86.1592,2012-01-26,19:00:00
59573,Louisiana,flood,2012-02-03 11:30:00,2012-02-04 12:00:00,10000.0,31.25,-92.21,2012-02-03,11:30:00
59659,Pennsylvania,flood,2012-01-27 05:01:00,2012-01-27 08:00:00,25000.0,41.4608,-79.6989,2012-01-27,05:01:00
59667,Oregon,flood,2012-01-19 10:31:00,2012-01-20 04:40:00,0.0,42.06,-123.73,2012-01-19,10:31:00
59667,Oregon,flood,2012-01-19 20:31:00,2012-01-20 10:00:00,0.0,43.4076,-124.1538,2012-01-19,20:31:00
59667,Oregon,flood,2012-01-19 08:55:00,2012-01-20 09:07:00,0.0,42.0518,-124.2728,2012-01-19,08:55:00
59674,Oregon,flood,2012-01-19 11:30:00,2012-01-19 20:00:00,0.0,43.67,-123.32,2012-01-19,11:30:00
59675,Ohio,flood,2012-01-27 01:00:00,2012-01-27 16:00:00,10000.0,39.57,-81.2,2012-01-27,01:00:00
59677,Oregon,flood,2012-01-19 11:45:00,2012-01-24 08:00:00,0.0,43.1727,-124.219,2012-01-19,11:45:00
59678,Oregon,flood,2012-01-19 13:15:00,2012-01-20 13:30:00,0.0,43.0619,-124.1504,2012-01-19,13:15:00
59679,Oregon,flood,2012-01-19 19:15:00,2012-01-20 06:00:00,0.0,43.086000000000006,-124.14399999999999,2012-01-19,19:15:00
59685,Ohio,flood,2012-01-27 03:00:00,2012-01-27 06:00:00,25000.0,39.91,-82.08,2012-01-27,03:00:00
59685,Ohio,flood,2012-01-27 04:00:00,2012-01-27 07:00:00,10000.0,40.09,-82.06,2012-01-27,04:00:00
59685,Ohio,flood,2012-01-27 04:10:00,2012-01-27 07:00:00,25000.0,40.4907,-81.5252,2012-01-27,04:10:00
59685,Ohio,flood,2012-01-27 03:00:00,2012-01-27 07:00:00,10000.0,40.1524,-81.9676,2012-01-27,03:00:00
59733,Arkansas,flood,2012-01-01 00:00:00,2012-01-13 11:20:00,5000.0,35.2772,-91.2427,2012-01-01,00:00:00
59733,Arkansas,flood,2012-01-01 00:00:00,2012-01-11 10:30:00,5000.0,34.7069,-91.3465,2012-01-01,00:00:00
59733,Arkansas,flood,2012-01-01 00:00:00,2012-01-07 16:45:00,5000.0,35.3022,-91.4258,2012-01-01,00:00:00
59736,Arkansas,flood,2012-01-27 16:45:00,2012-01-31 23:59:00,5000.0,35.3031,-91.4248,2012-01-27,16:45:00
59736,Arkansas,flood,2012-01-26 00:00:00,2012-01-27 18:15:00,0.0,35.0585,-93.4068,2012-01-26,00:00:00
59736,Arkansas,flood,2012-01-26 11:30:00,2012-01-31 23:59:00,5000.0,35.2741,-91.2423,2012-01-26,11:30:00
59775,Oregon,flood,2012-01-18 22:00:00,2012-01-22 08:00:00,3000000.0,44.7614,-123.1526,2012-01-18,22:00:00
59775,Oregon,flood,2012-01-20 13:00:00,2012-01-21 13:00:00,1000000.0,44.8461,-123.1677,2012-01-20,13:00:00
59775,Oregon,flood,2012-01-18 17:00:00,2012-01-20 00:03:00,3000000.0,44.3833,-123.8194,2012-01-18,17:00:00
59775,Oregon,flood,2012-01-18 17:00:00,2012-01-20 05:00:00,2000000.0,44.7106,-123.887,2012-01-18,17:00:00
59775,Oregon,flood,2012-01-18 14:00:00,2012-01-21 18:00:00,2000000.0,44.021,-123.84200000000001,2012-01-18,14:00:00
59775,Oregon,flood,2012-01-19 09:00:00,2012-01-20 06:00:00,1000000.0,44.1731,-122.8811,2012-01-19,09:00:00
59775,Oregon,flood,2012-01-18 11:00:00,2012-01-21 16:00:00,3000000.0,44.526,-123.333,2012-01-18,11:00:00
59775,Oregon,flood,2012-01-19 08:00:00,2012-01-20 11:00:00,1000000.0,44.7511,-123.0565,2012-01-19,08:00:00
59775,Oregon,flood,2012-01-20 05:00:00,2012-01-21 21:00:00,2000000.0,45.2551,-123.1231,2012-01-20,05:00:00
59775,Oregon,flood,2012-01-19 20:00:00,2012-01-19 21:00:00,1000000.0,45.229,-122.7159,2012-01-19,20:00:00
59775,Oregon,flood,2012-01-20 20:00:00,2012-01-23 12:00:00,0.0,45.3309,-122.63799999999999,2012-01-20,20:00:00
59775,Oregon,flood,2012-01-21 01:00:00,2012-01-22 16:00:00,0.0,45.3543,-122.6051,2012-01-21,01:00:00
59775,Oregon,flood,2012-01-19 12:00:00,2012-01-20 05:00:00,0.0,45.2865,-122.2806,2012-01-19,12:00:00
59775,Oregon,flood,2012-01-19 19:00:00,2012-01-20 04:00:00,0.0,45.3801,-122.4735,2012-01-19,19:00:00
59775,Oregon,flood,2012-01-19 11:00:00,2012-01-20 23:00:00,0.0,45.4749,-122.5133,2012-01-19,11:00:00
59775,Oregon,flood,2012-01-19 06:00:00,2012-01-27 01:00:00,1000000.0,45.301,-122.7242,2012-01-19,06:00:00
59797,Texas,flood,2012-01-25 02:30:00,2012-01-25 14:00:00,100000.0,32.9954,-97.5431,2012-01-25,02:30:00
59797,Texas,flood,2012-01-25 06:00:00,2012-01-25 09:00:00,1000.0,31.1428,-97.8397,2012-01-25,06:00:00
59797,Texas,flood,2012-01-25 04:30:00,2012-01-25 14:00:00,50000.0,32.9842,-97.0282,2012-01-25,04:30:00
59797,Texas,flood,2012-01-25 08:00:00,2012-01-25 14:00:00,3000.0,33.3776,-95.3119,2012-01-25,08:00:00
59797,Texas,flood,2012-01-25 05:00:00,2012-01-25 12:00:00,5000.0,33.4296,-97.3816,2012-01-25,05:00:00
59797,Texas,flood,2012-01-25 06:00:00,2012-01-25 14:00:00,3000.0,32.8389,-96.296,2012-01-25,06:00:00
59797,Texas,flood,2012-01-24 22:00:00,2012-01-25 09:00:00,1000.0,32.5622,-98.0673,2012-01-24,22:00:00
59797,Texas,flood,2012-01-25 05:00:00,2012-01-25 15:00:00,5000.0,33.0029,-98.0578,2012-01-25,05:00:00
59797,Texas,flood,2012-01-25 07:00:00,2012-01-25 15:00:00,10000.0,31.2237,-96.5958,2012-01-25,07:00:00
59797,Texas,flood,2012-01-25 05:00:00,2012-01-25 14:00:00,50000.0,32.9877,-96.8417,2012-01-25,05:00:00
59797,Texas,flood,2012-01-24 14:00:00,2012-01-25 08:30:00,1000.0,31.9429,-98.3266,2012-01-24,14:00:00
59797,Texas,flood,2012-01-25 06:00:00,2012-01-25 14:00:00,0.0,32.5347,-98.1931,2012-01-25,06:00:00
59798,Texas,flood,2012-02-04 00:15:00,2012-02-04 12:00:00,50000.0,30.7357,-97.2688,2012-02-04,00:15:00
59799,Illinois,flood,2012-01-01 00:00:00,2012-01-01 12:00:00,0.0,38.03,-88.05,2012-01-01,00:00:00
59800,Indiana,flood,2012-01-01 00:00:00,2012-01-01 12:00:00,0.0,38.1347,-87.9378,2012-01-01,00:00:00
59801,Illinois,flood,2012-01-01 00:00:00,2012-01-04 12:00:00,0.0,37.7,-88.13,2012-01-01,00:00:00
59802,Illinois,flood,2012-01-28 09:00:00,2012-01-31 23:59:00,0.0,37.1756,-89.0689,2012-01-28,09:00:00
59802,Illinois,flood,2012-01-27 17:00:00,2012-01-31 23:59:00,0.0,37.12,-88.63,2012-01-27,17:00:00
59802,Illinois,flood,2012-01-26 04:00:00,2012-01-31 23:59:00,0.0,37.7,-88.13,2012-01-26,04:00:00
59802,Illinois,flood,2012-01-31 03:00:00,2012-01-31 23:59:00,0.0,38.0759,-88.1395,2012-01-31,03:00:00
59802,Illinois,flood,2012-01-30 09:00:00,2012-01-31 23:59:00,0.0,36.9976,-89.1549,2012-01-30,09:00:00
59803,Indiana,flood,2012-01-27 13:00:00,2012-01-31 23:59:00,0.0,37.9312,-87.3805,2012-01-27,13:00:00
59803,Indiana,flood,2012-01-28 09:00:00,2012-01-31 23:59:00,0.0,37.9183,-87.9164,2012-01-28,09:00:00
59804,Kentucky,flood,2012-01-24 15:00:00,2012-01-31 23:59:00,0.0,37.27,-86.98,2012-01-24,15:00:00
59804,Kentucky,flood,2012-01-28 16:00:00,2012-01-31 23:59:00,0.0,37.77,-87.9473,2012-01-28,16:00:00
59806,Illinois,flood,2012-01-23 06:00:00,2012-01-31 23:59:00,1000.0,38.03,-88.05,2012-01-23,06:00:00
59806,Illinois,flood,2012-01-24 01:30:00,2012-01-31 23:59:00,2000.0,38.4227,-87.7433,2012-01-24,01:30:00
59807,Indiana,flood,2012-01-24 01:30:00,2012-01-31 23:59:00,2000.0,38.4,-87.73,2012-01-24,01:30:00
59807,Indiana,flood,2012-01-23 06:00:00,2012-01-31 23:59:00,2000.0,38.1347,-87.9387,2012-01-23,06:00:00
59807,Indiana,flood,2012-01-19 10:30:00,2012-01-31 23:59:00,2000.0,38.5137,-87.2701,2012-01-19,10:30:00
59807,Indiana,flood,2012-01-19 22:00:00,2012-01-31 23:59:00,3000.0,38.4977,-87.5411,2012-01-19,22:00:00
59808,Washington,flood,2012-01-21 02:00:00,2012-01-21 12:00:00,0.0,46.3662,-123.5404,2012-01-21,02:00:00
59811,Oregon,flood,2012-01-19 00:00:00,2012-01-20 00:00:00,0.0,44.9104,-123.1622,2012-01-19,00:00:00
59811,Oregon,flood,2012-01-19 00:00:00,2012-01-20 00:00:00,0.0,44.6965,-122.8423,2012-01-19,00:00:00
59811,Oregon,flood,2012-01-18 15:00:00,2012-01-20 00:00:00,0.0,44.5934,-123.0249,2012-01-18,15:00:00
59874,Georgia,flood,2012-02-18 21:25:00,2012-02-18 23:15:00,0.0,31.6136,-84.2198,2012-02-18,21:25:00
59909,Indiana,flood,2012-01-27 00:20:00,2012-01-27 13:55:00,0.0,38.8032,-85.6812,2012-01-27,00:20:00
59923,Missouri,flood,2012-02-04 02:00:00,2012-02-04 02:00:00,0.0,36.53,-92.38,2012-02-04,02:00:00
59923,Missouri,flood,2012-02-04 09:30:00,2012-02-04 09:30:00,0.0,36.52,-92.01,2012-02-04,09:30:00
